id	candidate	candidate_confidence	relevant_yn	relevant_yn_confidence	sentiment	sentiment_confidence	subject_matter	subject_matter_confidence	candidate_gold	name	relevant_yn_gold	retweet_count	sentiment_gold	subject_matter_gold	tweet_coord	tweet_created	tweet_id	tweet_location	user_timezone		text
8747	No candidate mentioned	0.4085	yes	0.6392	Negative	0.6392		0.2306		Jimbobbarley		2				8/6/15 22:27	6.30E+17	AMERICA HOME OF THE BRAVE	Central Time (US & Canada)		RT @DriverPost: These snide patronizing liberal hosts of #GOPDebates w/their slimy vineer just make my skin crawl ~ Megyn Kelly Bret Baier…
828	Donald Trump	0.6489	yes	1	Negative	1	None of the above	1		GaryLaprell		2				8/7/15 9:47	6.30E+17	"Colorado, USA"			"RT @TheFriddle: I miss the days when conservatives wanted a @GOP Presidential candidate who was, you know, a conservative #Trump #GOPDeb…"
1083	No candidate mentioned	1	yes	1	Neutral	0.6953	None of the above	1		Themgrid		1				8/7/15 9:45	6.30E+17	North Carolina	Eastern Time (US & Canada)		RT @The3o5FlyGuy: Watching the #GOPDebate like http://t.co/bguDpo0iKb
8633	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		Eccentrie		26				8/6/15 23:07	6.30E+17		Pacific Time (US & Canada)		RT @Desdemona4U: It was unfathomable that @megynkelly would ask Wasserman-Schultz to do a postmortem on the #GOPDebates. #SURREAL https://t…
10356	No candidate mentioned	1	yes	1	Negative	1	None of the above	0.6867		TeshawnEdmonds		0				8/6/15 19:56	6.29E+17		Eastern Time (US & Canada)		"Retweeted Sal Masekela (@SalMasekela):These self righteous hypocrites, trying to out God each other. Shameless. #GOPDebates"
2063	No candidate mentioned	1	yes	1	Positive	1	FOX News or Moderators	1		NoahTarnow		0				8/7/15 9:34	6.30E+17	NYC			Giving credit where it's due: I thought all three #GOPDebate moderators did a great job. They took it to the candidates.
5390	No candidate mentioned	1	yes	1	Negative	1	Gun Control	1		blairc94		1				8/7/15 8:36	6.30E+17				"Notice last night nothing about climate change, minimum wage, gun control, and barely got into same sex marriage. #GOPDebate"
9510	Chris Christie	0.6941	yes	1	Negative	0.6941	None of the above	0.6824		blaha_b		7				8/6/15 20:22	6.29E+17	"Buffalo Valley, Tennessee"			RT @jsc1835: Chris Christie - You want to increase our military troops? While the GOP in Congress vote AGAINST veterans #GOPDebates
10385	Marco Rubio	1	yes	1	Negative	0.6703	Religion	1		jansenbwerner		0				8/6/15 19:56	6.29E+17	"Milwaukee, WI"			Rubio gets all kinds of applause for more or less being intolerant of religious plurality #GOPDebates #trdebates
12519	Donald Trump	0.465	yes	0.6819	Neutral	0.3499	None of the above	0.465		dskahoopay		72				8/6/15 19:20	6.29E+17	the depths of wisdom and mirth	Atlantic Time (Canada)		RT @RWSurferGirl: You would never know @realDonaldTrump is the frontrunner from watching this debate. 🇺🇸 #GOPDebate #GOPDebates
8828	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	0.6909		fiddlestix007		132				8/6/15 22:00	6.30E+17	Around	Pacific Time (US & Canada)		RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate #GOPDebates 🇺🇸
6726	No candidate mentioned	1	yes	1	Negative	1	None of the above	0.6429		JayDubya83		0				8/7/15 8:16	6.30E+17				So Jon Stewart quits the same day of the #GOPDebate. I feel like he is going to miss the greatest comedic election of all time.
7188	Ted Cruz	1	yes	1	Positive	1	None of the above	1		nursingusa		0				8/7/15 8:09	6.30E+17	 	Quito		@Newsweek @tedcruz Priceless💛❤️ My favorite picture and it speaks volumes about this amazing man. #CruzCrew #GOPDebate @marklevinshow #ccot
1128	No candidate mentioned	1	yes	1	Negative	0.6667	Abortion	0.6667		_sMallard		1				8/7/15 9:44	6.30E+17	Earth	Eastern Time (US & Canada)		RT @JeremyLHeath: I'm is she saying she is regretting having the baby? That's kind of how this reads. #GOPDebate #tcot #prolife https:/…
6607	No candidate mentioned	1	yes	1	Positive	1	FOX News or Moderators	0.7032		SarahLeeAnne		2				8/7/15 8:17	6.30E+17	Ohio	Eastern Time (US & Canada)		RT @AngelaHaysMoore: A good debate is when you don't even notice the moderators. @FoxNews #GOPDebate
7580	Donald Trump	1	yes	1	Positive	0.6796	Women's Issues (not abortion though)	0.6796		RavingRaver		0				8/7/15 8:02	6.30E+17	NYC			"My response when @megynkelly tried to call @realDonaldTrump a sexist: ""CAN'T STUMP THE TRUMP!"" #GOPDebate"
11689	No candidate mentioned	0.4528	yes	0.6729	Neutral	0.3605	None of the above	0.4528		sorrentotwin		1				8/6/15 19:32	6.29E+17	Michigan	Eastern Time (US & Canada)		RT @MotorCityLib: Forget the #GOPdebates and let's talk about this Ronald Raven..
1541	No candidate mentioned	1	yes	1	Negative	1	Jobs and Economy	0.6685		mickko13		28				8/7/15 9:40	6.30E+17	VA-11 | Pvd | Bmore | Philly	Eastern Time (US & Canada)		"RT @BRios82: Not one word by @GOP Candidates about Income Inequality, Climate Change, Citizens United or Student Debt. #GOPDebate http://t.…"
11895	Jeb Bush	0.3923	yes	0.6264	Negative	0.6264	None of the above	0.3923		thenurse75		12				8/6/15 19:29	6.29E+17	Kelsey California	Pacific Time (US & Canada)		"RT @SupermanHotMale: Translation, Jeb Bush, I fucked Florida schools so badly they still have not recovered. That is the truth, I live here…"
8573	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		mikewhitmore		5				8/6/15 23:41	6.30E+17	"Seattle, WA"	Pacific Time (US & Canada)		"I didn't watch the #GOPDebates tonight, so I was going to ask who won. Then I figured, I did."
10231	No candidate mentioned	1	yes	1	Negative	0.6778	Religion	0.3444		iandc		0				8/6/15 19:58	6.29E+17	baltimore 	Eastern Time (US & Canada)		I thought maybe @LILBTHEBASEDGOD was going to show up #GOPdebates but no :( http://t.co/dRSoj9pN8z
10005	Jeb Bush	1	yes	1	Negative	1	None of the above	1		Jeorge2728		4				8/6/15 20:04	6.29E+17				"RT @SupermanHotMale: Dear Jeb Bush, Your Record, Sir is clear, you are a fucking ememy of the voting public PERIOD. #GopDebates"
1368	No candidate mentioned	1	yes	1	Neutral	1	None of the above	1		SeaBassThePhish		0				8/7/15 9:42	6.30E+17		Eastern Time (US & Canada)		HOLY FUCK I think he did. #GOPDebate
10232	No candidate mentioned	1	yes	1	Negative	0.6126	Religion	1		b140tweet		8				8/6/15 19:58	6.29E+17	Heaven 	Eastern Time (US & Canada)		RT @NerdyNegress: #GOPdebatesThis is No damn Christian revival. Cut it out.
7320	No candidate mentioned	1	yes	1	Positive	0.6814	Abortion	1		littleredblog		2				8/7/15 8:07	6.30E+17	Toledo Detroit	Eastern Time (US & Canada)		"#RickSantorum brings full crazy to GOP debate, compares same-sex marriage and abortion to slavery http://t.co/oHxdLlKnVx #WeGotEd #Gopdebate"
11566	Donald Trump	1	yes	1	Positive	1	Immigration	1		marypatriott		105				8/6/15 19:34	6.29E+17	Dark Blue Minneapolis 	Central Time (US & Canada)		"RT @RWSurferGirl: Trump has got it right, nobody would talk about immigration, not untill be brought it up. #GOPDebate #GOPDebates"
10078	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		NYACC1978		157				8/6/15 20:02	6.29E+17	New York	Eastern Time (US & Canada)		"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate #GOPDebates"
2134	Donald Trump	1	yes	1	Negative	0.6957	None of the above	1		steviecoolest		0				8/7/15 9:33	6.30E+17	On the web & in your hearts	Central Time (US & Canada)		I wish there was more CGI in the #GOPDebate when the candidates called out Trump as not being helpful to Americans. http://t.co/ladgpa1REz
3096	Ted Cruz	1	yes	1	Positive	0.6882	None of the above	1		england498		34				8/7/15 9:23	6.30E+17		Central Time (US & Canada)		"RT @PatriotTrumpet: I heard that @SenTedCruz was a great debater, it's a shame he wasn't allowed to do so.#GOPDebate"
5920	John Kasich	0.4642	yes	0.6813	Negative	0.6813	None of the above	0.4642		Naomi_kibey		0				8/7/15 8:28	6.30E+17	philadelphia 	Pacific Time (US & Canada)		#GOPDebate @JohnKasich didn't really stand out in the debate he left more of a clueless veiw on America.
11150	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		lrmortensen		132				8/6/15 19:42	6.29E+17				RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate #GOPDebates 🇺🇸
6542	Donald Trump	1	yes	1	Negative	1	FOX News or Moderators	1		onhilburn		5				8/7/15 8:18	6.30E+17				RT @JoshKlemp: Lame question for Trump Megan Kelly @FoxNews #GOPdebate #FoxDebate @JohnDePetroshow
7656	Donald Trump	1	yes	1	Negative	1	None of the above	1		BettinaVLA		4				8/7/15 8:01	6.30E+17	"Los Angeles, CA"	Pacific Time (US & Canada)		"RT @BiasedGirl: Oh. Hey. So ""drafting off of Trump"" Maybe not the best idea. #GOPDebate #DumpTrump https://t.co/AU1MBqGe7l"
3655	Donald Trump	1	yes	1	Negative	1	None of the above	1		twolfzao		20				8/7/15 9:16	6.30E+17	Beacon Hills			RT @ayeedxnny: It's shocking that there are people out there who are supporting Donald Trump's ideas on running the country cmon he's a jo…
123	No candidate mentioned	1	yes	1	Negative	0.6932	None of the above	1		paulrikmans		4				8/7/15 9:53	6.30E+17	10km from amsterdam	Amsterdam		RT @JamesViser: Huh. Half of Clinton's charity went to the Clintons! http://t.co/BVwRoSgWAL #copolitics #Hillary2016 #StopHillary #UniteB…
4363	No candidate mentioned	1	yes	1	Positive	0.6667	None of the above	0.6786		junebuggin		0				8/7/15 9:07	6.30E+17	"Lumberton, NC, USA"	Eastern Time (US & Canada)		Favorite picture of #GOPDebate Night http://t.co/W3GRrYcJRI
13833	No candidate mentioned	1	yes	1	Positive	0.3478	None of the above	0.6522		16campaignbites		1				8/6/15 18:55	6.29E+17	"Indianapolis, IN"	Pacific Time (US & Canada)		"Yes, and Moe was the smartest Stooge#Democrats #GOPDebates @TheDemocrats https://t.co/Ucd675MRMY"
11312	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		Erika_Harvey_		1				8/6/15 19:39	6.29E+17	Tamarack 			"""Way to not answer the question""-my dad at the TV all night #GOPdebates"
2560	Ted Cruz	1	yes	1	Negative	1	Foreign Policy	0.6703		stipton82		364				8/7/15 9:29	6.30E+17	"Valparaiso, IN"	Eastern Time (US & Canada)		RT @pattonoswalt: Cruz wants us to forfeit citizenship if we go and join ISIS? That seriously fucks up the spring break comedy script I jus…
4888	Ted Cruz	1	yes	1	Neutral	0.6316	None of the above	1		rejames4		53				8/7/15 8:43	6.30E+17	United States of America	America/Chicago		"RT @paulolim: Sen. Ted Cruz: ""As conservatives, we keep winning elections, but we don't have leaders keeping their commitments."" #Cruz2016 …"
11421	No candidate mentioned	1	yes	1	Negative	0.6739	None of the above	1		ProfessorRobo		0				8/6/15 19:37	6.29E+17	Las Vegas	Pacific Time (US & Canada)		- No longer any true #conservatives in politics; or Kennedy #democrats for that matter #GOPDebate #GOPDebates @KayEm60
13458	Ben Carson	1	yes	1	Negative	1	None of the above	1		mdreifuss		0				8/6/15 19:04	6.29E+17	North Shore sub of Chicago	Central Time (US & Canada)		"Not only is Carson disqualified, I'm not sure I'd go to him if I had a brain tumor #GOPDebates"
8194	No candidate mentioned	1	yes	1	Negative	0.6559	FOX News or Moderators	1		samtheman12321		142				8/7/15 5:59	6.30E+17				RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate #GOPDebates
6725	No candidate mentioned	1	yes	1	Neutral	1	Religion	1		g8r84		1				8/7/15 8:16	6.30E+17		Eastern Time (US & Canada)		RT @matt_lichstein: Anyone heard from God yet? #GOPDebate
3614	Rand Paul	0.6778	yes	1	Neutral	1	None of the above	1		wcnc		1				8/7/15 9:16	6.30E+17	"Charlotte, NC"	Eastern Time (US & Canada)		RT @DianneG: LIVE on #Periscope: .@randpaul speaking in Rock Hill SC the day after #gopdebate. #decision2016 https://t.co/F0ckWeaTZ7
6425	No candidate mentioned	1	yes	1	Negative	0.401	None of the above	1		bristol_1st		1				8/7/15 8:20	6.30E+17	"Bristol, England"			"RT @KristinMCoppens: So uh, climate change, eh guys? #GOPDebate http://t.co/VNkJJiOQGJ"
5347	Donald Trump	1	yes	1	Negative	0.6583	Women's Issues (not abortion though)	0.3524		trendclues		0				8/7/15 8:36	6.30E+17	California 	Pacific Time (US & Canada)		"Donald Trump, Rosie O’Donnell Feud: #DonaldTrump Slams #MegynKelly &amp; ‘Fat Pig’ #RosieODonnell [Video] http://t.co/VDNBhh6i7p #GOPdebate #GOP"
6320	No candidate mentioned	1	yes	1	Negative	0.6745	Healthcare (including Medicare)	0.6703		SNCCLA		24				8/7/15 8:21	6.30E+17	Los Angeles	Pacific Time (US & Canada)		RT @GingerTaylor: #CDCwhistleblower reports that CDC destroyed autism vaccine data. Where are the congressional hearings? #GOPDebate http:/…
6666	John Kasich	1	yes	1	Neutral	0.6531	None of the above	1		CSingerling		0				8/7/15 8:16	6.30E+17	"Alexandria, VA"	Eastern Time (US & Canada)		John #Kasich’s Standout Performance in #GOPDebate | http://t.co/UC6zGUjYvM | http://t.co/pNpFOwV7Ix #Kasich4Us #ExperienceMatters
11769	Donald Trump	1	yes	1	Negative	0.6739	FOX News or Moderators	0.6957		PhyllisA		134				8/6/15 19:31	6.29E+17		Central Time (US & Canada)		RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
12225	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	0.6616		RNTiwari3		12				8/6/15 19:24	6.29E+17				"RT @SupermanHotMale: Total Theatre on Fox news tonight, no basis in fact at all it's all garbage. #GopDebates"
9140	No candidate mentioned	1	yes	1	Neutral	0.643	FOX News or Moderators	1		david_w_ross		3				8/6/15 20:54	6.30E+17	LA/London	Pacific Time (US & Canada)		So here I am watching the jerry springer show and suddenly realized it's the #foxnews #GOPdebates !?
10626	Ted Cruz	0.4052	yes	0.6366	Negative	0.6366	FOX News or Moderators	0.4052		gardnerdar001		15				8/6/15 19:52	6.29E+17				"RT @SalMasekela: Senator Cruz, any word from God? Just spit out my tequila. Damn you Megyn Kelly, it was the expensive kind. #GOPDebates"
970	Ted Cruz	0.4135	yes	0.643	Positive	0.643	Immigration	0.4135		catchcaleb		0				8/7/15 9:46	6.30E+17	"California, USA"			"@SenTedCruz had best answer of night in response to immigration. Its not stupidity, it is how both sides want it. #GOPDebate"
864	No candidate mentioned	1	yes	1	Negative	0.6667	Abortion	0.6774		pete_908		0				8/7/15 9:47	6.30E+17	NY	Eastern Time (US & Canada)		"#GOPDebate why do politicians stick to the same old topics, pro-life, pro-choice? gay marriage. Let it go..These are personal choices!"
862	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		EscapeVelo		103				8/7/15 9:47	6.30E+17	Twitter			"RT @k_mcq: It’s embarrassing that a brilliant, stunning woman like Megyn Kelly uses SJW, feminist propaganda to attack Republicans. #GOPDeb…"
4278	Donald Trump	0.4181	yes	0.6466	Neutral	0.336	FOX News or Moderators	0.4181		Charvettebey		0				8/7/15 9:08	6.30E+17	Maryland	Eastern Time (US & Canada)		I just heard Megyn Kelly's question to Trump! His comeback w Rosie O'Donnell was appalling but predictable! #GopDebate
1946	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		Ritmoyclase2		20				8/7/15 9:35	6.30E+17				RT @Politics_PR: The #GOPDebate Showed How #FoxNews Enforces Republican Orthodoxy: http://t.co/3rnrI9CBvD #p2 http://t.co/6981eqojZn
12411	Donald Trump	1	yes	1	Positive	0.3563	FOX News or Moderators	1		joshuawoodz		134				8/6/15 19:21	6.29E+17	California	International Date Line West		RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
11644	No candidate mentioned	1	yes	1	Negative	0.6739	FOX News or Moderators	1		ConservativeGM		120				8/6/15 19:33	6.29E+17	"Anytown, NJ"	Eastern Time (US & Canada)		RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate …
3730	Donald Trump	1	yes	1	Negative	0.6643	None of the above	1		BansheeofBebop		22				8/7/15 9:15	6.30E+17				RT @kesgardner: Trump: I have used the laws of this country to rip other people off. And I'm awesome for doing it! Or words to that effect.…
1646	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		EndiveG		0				8/7/15 9:38	6.30E+17	Pacific NW 			#TheWorstPartOfDepressionIs not even the #GOPDebate results or watching the #GOPClownCar crash will make me smile 
11036	Mike Huckabee	1	yes	1	Negative	1	None of the above	0.6848		therealjvincent		66				8/6/15 19:44	6.29E+17	East Coast	Eastern Time (US & Canada)		"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
6009	Ted Cruz	1	yes	1	Neutral	0.6489	Religion	1		philm1994		0				8/7/15 8:27	6.30E+17				Ted Cruz said he intends to 'instruct the Department of Justice and the IRS to start persecuting religious liberty' at the #GOPDebate
13530	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		virtualbri		0				8/6/15 19:02	6.29E+17	"Adventurekateer HQ, Apex City "	Pacific Time (US & Canada)		"Wow, if you want to feel especially bad about the #GOPDebates, listen with local radio DJ's breaking in for empty-headed comments. #ugh"
1406	No candidate mentioned	0.4398	yes	0.6632	Positive	0.3368	None of the above	0.4398		bloodletting911		0				8/7/15 9:41	6.30E+17				bottom line is that i will vote for any of the candidates last night over @HillaryClinton #GOPDebate
13560		0.2287	yes	0.6458	Negative	0.6458	Foreign Policy	0.4171		YesAnders		2				8/6/15 19:01	6.29E+17	Los Angeles			"RT @AvidHeather: If Walker, Paul or Huckabee had to meet with Putin or command our armies they'd shit their pants. Not president material. …"
12934	Mike Huckabee	1	yes	1	Negative	1	None of the above	1		DigiSoulExp		60				8/6/15 19:12	6.29E+17	New Jersey/New York City	Central Time (US & Canada)		RT @goldietaylor: Huckabee. #GOPDebates http://t.co/Zy12bdUkx9
11977	No candidate mentioned	0.4548	yes	0.6744	Negative	0.6744	Racial issues	0.4548		TBain2		12				8/6/15 19:28	6.29E+17	In God's Waiting Room	Eastern Time (US & Canada)		RT @fieldnegro: GOP respects life .just not black ones. #GOPDebates
2066	Donald Trump	1	yes	1	Positive	0.6591	None of the above	0.6591		urwilliam		67				8/7/15 9:34	6.30E+17	Alabama Roll Tide	Eastern Time (US & Canada)		RT @JohnGGalt: “We don't have time for tone we have to go out and get the job done.” —Donald Trump #GOPDebate http://t.co/mIYhIPDkqs
2006	No candidate mentioned	1	yes	1	Negative	0.6667	Gun Control	1		lyn_va		25				8/7/15 9:35	6.30E+17				"RT @shannonrwatts: Over past 10 years, U.S. military has endured suicide epidemic among troops; more than 2/3 of deaths involved guns #GOPd…"
12791	Donald Trump	1	yes	1	Positive	1	FOX News or Moderators	1		MattMcEachran		93				8/6/15 19:15	6.29E+17	Canada			"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate #GOPDebates"
62	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		search4rr		154				8/7/15 9:54	6.30E+17	"Florida,, usually"	Eastern Time (US & Canada)		"RT @AmyMek: Status 👉 Single I broke up with @FoxNews last night! Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.#GOPDebate http://t.…"
3973	No candidate mentioned	1	yes	1	Neutral	0.686	None of the above	1		aidencwolf		1291				8/7/15 9:12	6.30E+17	Neverland	Athens		RT @DesiJed: Hillary right now #GOPDebate http://t.co/mjsz7LWotz
6257	No candidate mentioned	1	yes	1	Neutral	1	None of the above	1		amoranimatio		1				8/7/15 8:22	6.30E+17	"University City, MO"	Eastern Time (US & Canada)		RT @itellyouthings: 2015 is the year #hugs earned their rightful place at the #GOPdebate
